-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891757 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471169 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #573 (81 bp)...done!
Finding genes in sequence #574 (81 bp)...done!
Finding genes in sequence #575 (81 bp)...done!
Finding genes in sequence #576 (81 bp)...done!
Finding genes in sequence #577 (81 bp)...done!
Finding genes in sequence #578 (80 bp)...done!
Finding genes in sequence #579 (80 bp)...done!
Finding genes in sequence #580 (80 bp)...done!
Finding genes in sequence #581 (80 bp)...done!
Finding genes in sequence #582 (80 bp)...done!
Finding genes in sequence #583 (80 bp)...done!
Finding genes in sequence #584 (80 bp)...done!
Finding genes in sequence #585 (80 bp)...done!
Finding genes in sequence #586 (80 bp)...done!
Finding genes in sequence #587 (80 bp)...done!
Finding genes in sequence #588 (80 bp)...done!
Finding genes in sequence #589 (80 bp)...done!
Finding genes in sequence #590 (80 bp)...done!
Finding genes in sequence #591 (80 bp)...done!
Finding genes in sequence #592 (79 bp)...done!
Finding genes in sequence #593 (79 bp)...done!
Finding genes in sequence #594 (79 bp)...done!
Finding genes in sequence #595 (79 bp)...done!
Finding genes in sequence #596 (79 bp)...done!
Finding genes in sequence #597 (79 bp)...done!
Finding genes in sequence #598 (79 bp)...done!
Finding genes in sequence #599 (79 bp)...done!
Finding genes in sequence #600 (79 bp)...done!
Finding genes in sequence #601 (79 bp)...done!
Finding genes in sequence #602 (79 bp)...done!
Finding genes in sequence #603 (79 bp)...done!
Finding genes in sequence #604 (79 bp)...done!
Finding genes in sequence #605 (79 bp)...done!
Finding genes in sequence #606 (79 bp)...done!
Finding genes in sequence #607 (79 bp)...done!
Finding genes in sequence #608 (78 bp)...done!
Finding genes in sequence #609 (78 bp)...done!
Finding genes in sequence #610 (78 bp)...done!
Finding genes in sequence #611 (78 bp)...done!
Finding genes in sequence #612 (78 bp)...done!
Finding genes in sequence #613 (78 bp)...done!
Finding genes in sequence #614 (78 bp)...done!
Finding genes in sequence #615 (78 bp)...done!
Finding genes in sequence #616 (78 bp)...done!
Finding genes in sequence #617 (78 bp)...done!
Finding genes in sequence #618 (78 bp)...done!
Finding genes in sequence #619 (78 bp)...done!
Finding genes in sequence #620 (78 bp)...done!
Finding genes in sequence #621 (78 bp)...done!
Finding genes in sequence #622 (78 bp)...done!
Finding genes in sequence #623 (78 bp)...done!
Finding genes in sequence #624 (78 bp)...done!
