-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891757 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471169 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #130 (272 bp)...done!
Finding genes in sequence #131 (272 bp)...done!
Finding genes in sequence #132 (272 bp)...done!
Finding genes in sequence #133 (271 bp)...done!
Finding genes in sequence #134 (271 bp)...done!
Finding genes in sequence #135 (271 bp)...done!
Finding genes in sequence #136 (271 bp)...done!
Finding genes in sequence #137 (271 bp)...done!
Finding genes in sequence #138 (271 bp)...done!
Finding genes in sequence #139 (271 bp)...done!
Finding genes in sequence #140 (270 bp)...done!
Finding genes in sequence #141 (270 bp)...done!
Finding genes in sequence #142 (269 bp)...done!
Finding genes in sequence #143 (269 bp)...done!
Finding genes in sequence #144 (269 bp)...done!
Finding genes in sequence #145 (268 bp)...done!
Finding genes in sequence #146 (268 bp)...done!
Finding genes in sequence #147 (268 bp)...done!
Finding genes in sequence #148 (268 bp)...done!
Finding genes in sequence #149 (267 bp)...done!
Finding genes in sequence #150 (266 bp)...done!
Finding genes in sequence #151 (265 bp)...done!
Finding genes in sequence #152 (264 bp)...done!
Finding genes in sequence #153 (264 bp)...done!
Finding genes in sequence #154 (264 bp)...done!
Finding genes in sequence #155 (264 bp)...done!
Finding genes in sequence #156 (264 bp)...done!
Finding genes in sequence #157 (264 bp)...done!
Finding genes in sequence #158 (264 bp)...done!
Finding genes in sequence #159 (263 bp)...done!
Finding genes in sequence #160 (263 bp)...done!
Finding genes in sequence #161 (263 bp)...done!
Finding genes in sequence #162 (262 bp)...done!
Finding genes in sequence #163 (261 bp)...done!
Finding genes in sequence #164 (260 bp)...done!
Finding genes in sequence #165 (260 bp)...done!
Finding genes in sequence #166 (260 bp)...done!
Finding genes in sequence #167 (259 bp)...done!
Finding genes in sequence #168 (258 bp)...done!
Finding genes in sequence #169 (257 bp)...done!
Finding genes in sequence #170 (257 bp)...done!
Finding genes in sequence #171 (257 bp)...done!
