#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_34_length_56795_cov_2.750882_29  -            535 46726at72274         -            190   1.8e-36  124.4   3.7   3   4     0.017       0.8    8.1   0.0    12    63   305   361   295   371 0.71 # 38622 # 40226 # 1 # ID=34_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_34_length_56795_cov_2.750882_29  -            535 46726at72274         -            190   1.8e-36  124.4   3.7   4   4   9.1e-15   4.3e-13   48.1   0.0    79   155   419   499   399   519 0.80 # 38622 # 40226 # 1 # ID=34_29;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_18_length_74730_cov_2.929601_41  -            524 46726at72274         -            190   4.4e-36  123.1   7.3   1   4     0.041       1.9    6.8   0.0     7    58    19    73    15   109 0.80 # 38569 # 40140 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_18_length_74730_cov_2.929601_41  -            524 46726at72274         -            190   4.4e-36  123.1   7.3   2   4     4e-17   1.9e-15   55.8   1.2    79   154   146   225   125   242 0.82 # 38569 # 40140 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_18_length_74730_cov_2.929601_41  -            524 46726at72274         -            190   4.4e-36  123.1   7.3   3   4    0.0046      0.21    9.9   0.0     8    49   294   337   287   362 0.76 # 38569 # 40140 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_18_length_74730_cov_2.929601_41  -            524 46726at72274         -            190   4.4e-36  123.1   7.3   4   4   9.6e-16   4.5e-14   51.3   0.0    78   171   411   509   388   522 0.76 # 38569 # 40140 # -1 # ID=18_41;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_78_length_31089_cov_2.819165_17  -            540 46726at72274         -            190   6.7e-36  122.5   1.3   1   4     0.021         1    7.7   0.0     8    39    24    58    19    70 0.80 # 14071 # 15690 # -1 # ID=78_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_78_length_31089_cov_2.819165_17  -            540 46726at72274         -            190   6.7e-36  122.5   1.3   2   4   5.8e-15   2.7e-13   48.7   0.1    80   155   151   230   133   241 0.86 # 14071 # 15690 # -1 # ID=78_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_78_length_31089_cov_2.819165_17  -            540 46726at72274         -            190   6.7e-36  122.5   1.3   3   4   7.4e-05    0.0035   15.8   0.0     6    49   288   334   285   359 0.86 # 14071 # 15690 # -1 # ID=78_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_78_length_31089_cov_2.819165_17  -            540 46726at72274         -            190   6.7e-36  122.5   1.3   4   4   4.5e-14   2.1e-12   45.8   0.0    62   167   392   503   382   523 0.81 # 14071 # 15690 # -1 # ID=78_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
