-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #130 (275 bp)...done!
Finding genes in sequence #131 (274 bp)...done!
Finding genes in sequence #132 (274 bp)...done!
Finding genes in sequence #133 (273 bp)...done!
Finding genes in sequence #134 (273 bp)...done!
Finding genes in sequence #135 (273 bp)...done!
Finding genes in sequence #136 (272 bp)...done!
Finding genes in sequence #137 (272 bp)...done!
Finding genes in sequence #138 (272 bp)...done!
Finding genes in sequence #139 (272 bp)...done!
Finding genes in sequence #140 (271 bp)...done!
Finding genes in sequence #141 (271 bp)...done!
Finding genes in sequence #142 (271 bp)...done!
Finding genes in sequence #143 (271 bp)...done!
Finding genes in sequence #144 (271 bp)...done!
Finding genes in sequence #145 (271 bp)...done!
Finding genes in sequence #146 (271 bp)...done!
Finding genes in sequence #147 (270 bp)...done!
Finding genes in sequence #148 (270 bp)...done!
Finding genes in sequence #149 (269 bp)...done!
Finding genes in sequence #150 (269 bp)...done!
Finding genes in sequence #151 (269 bp)...done!
Finding genes in sequence #152 (268 bp)...done!
Finding genes in sequence #153 (268 bp)...done!
Finding genes in sequence #154 (268 bp)...done!
Finding genes in sequence #155 (268 bp)...done!
Finding genes in sequence #156 (267 bp)...done!
Finding genes in sequence #157 (266 bp)...done!
Finding genes in sequence #158 (265 bp)...done!
Finding genes in sequence #159 (264 bp)...done!
Finding genes in sequence #160 (264 bp)...done!
Finding genes in sequence #161 (264 bp)...done!
Finding genes in sequence #162 (264 bp)...done!
Finding genes in sequence #163 (264 bp)...done!
Finding genes in sequence #164 (264 bp)...done!
Finding genes in sequence #165 (264 bp)...done!
Finding genes in sequence #166 (263 bp)...done!
Finding genes in sequence #167 (263 bp)...done!
Finding genes in sequence #168 (263 bp)...done!
Finding genes in sequence #169 (262 bp)...done!
Finding genes in sequence #170 (261 bp)...done!
Finding genes in sequence #171 (260 bp)...done!
Finding genes in sequence #172 (260 bp)...done!
Finding genes in sequence #173 (260 bp)...done!
Finding genes in sequence #174 (259 bp)...done!
Finding genes in sequence #175 (258 bp)...done!
Finding genes in sequence #176 (257 bp)...done!
Finding genes in sequence #177 (257 bp)...done!
Finding genes in sequence #178 (257 bp)...done!
Finding genes in sequence #179 (257 bp)...done!
Finding genes in sequence #180 (256 bp)...done!
Finding genes in sequence #181 (256 bp)...done!
Finding genes in sequence #182 (256 bp)...done!
Finding genes in sequence #183 (256 bp)...done!
Finding genes in sequence #184 (256 bp)...done!
Finding genes in sequence #185 (255 bp)...done!
Finding genes in sequence #186 (255 bp)...done!
Finding genes in sequence #187 (255 bp)...done!
Finding genes in sequence #188 (254 bp)...done!
Finding genes in sequence #189 (254 bp)...done!
Finding genes in sequence #190 (254 bp)...done!
Finding genes in sequence #191 (253 bp)...done!
Finding genes in sequence #192 (253 bp)...done!
Finding genes in sequence #193 (253 bp)...done!
Finding genes in sequence #194 (253 bp)...done!
Finding genes in sequence #195 (253 bp)...done!
Finding genes in sequence #196 (252 bp)...done!
Finding genes in sequence #197 (252 bp)...done!
Finding genes in sequence #198 (252 bp)...done!
Finding genes in sequence #199 (251 bp)...done!
Finding genes in sequence #200 (250 bp)...done!
Finding genes in sequence #201 (250 bp)...done!
Finding genes in sequence #202 (250 bp)...done!
Finding genes in sequence #203 (250 bp)...done!
Finding genes in sequence #204 (250 bp)...done!
Finding genes in sequence #205 (249 bp)...done!
Finding genes in sequence #206 (249 bp)...done!
Finding genes in sequence #207 (248 bp)...done!
Finding genes in sequence #208 (248 bp)...done!
Finding genes in sequence #209 (248 bp)...done!
Finding genes in sequence #210 (248 bp)...done!
Finding genes in sequence #211 (247 bp)...done!
Finding genes in sequence #212 (247 bp)...done!
Finding genes in sequence #213 (246 bp)...done!
Finding genes in sequence #214 (246 bp)...done!
Finding genes in sequence #215 (246 bp)...done!
Finding genes in sequence #216 (246 bp)...done!
Finding genes in sequence #217 (245 bp)...done!
Finding genes in sequence #218 (245 bp)...done!
Finding genes in sequence #219 (244 bp)...done!
Finding genes in sequence #220 (244 bp)...done!
Finding genes in sequence #221 (244 bp)...done!
Finding genes in sequence #222 (243 bp)...done!
Finding genes in sequence #223 (243 bp)...done!
Finding genes in sequence #224 (242 bp)...done!
Finding genes in sequence #225 (242 bp)...done!
Finding genes in sequence #226 (241 bp)...done!
Finding genes in sequence #227 (240 bp)...done!
Finding genes in sequence #228 (240 bp)...done!
Finding genes in sequence #229 (240 bp)...done!
Finding genes in sequence #230 (239 bp)...done!
Finding genes in sequence #231 (239 bp)...done!
Finding genes in sequence #232 (239 bp)...done!
Finding genes in sequence #233 (238 bp)...done!
Finding genes in sequence #234 (238 bp)...done!
Finding genes in sequence #235 (238 bp)...done!
Finding genes in sequence #236 (237 bp)...done!
Finding genes in sequence #237 (237 bp)...done!
Finding genes in sequence #238 (236 bp)...done!
Finding genes in sequence #239 (235 bp)...done!
Finding genes in sequence #240 (235 bp)...done!
