#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_202096_cov_31.427584_123  -            637 46726at72274         -            190   1.7e-39  134.2   0.3   1   3   1.2e-06   5.8e-05   21.6   0.0     6    57    14    72    10    96 0.78 # 127077 # 128987 # -1 # ID=6_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.639
NODE_6_length_202096_cov_31.427584_123  -            637 46726at72274         -            190   1.7e-39  134.2   0.3   2   3   4.8e-11   2.3e-09   35.9   0.0    77   146   142   211   126   225 0.88 # 127077 # 128987 # -1 # ID=6_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.639
NODE_6_length_202096_cov_31.427584_123  -            637 46726at72274         -            190   1.7e-39  134.2   0.3   3   3   1.1e-20     5e-19   67.4   0.2     6   152   325   498   323   505 0.75 # 127077 # 128987 # -1 # ID=6_123;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.639
NODE_71_length_26450_cov_30.407962_19   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   1   4     0.056       2.6    6.4   0.0     6    45    19    61    17    77 0.79 # 20986 # 22701 # -1 # ID=71_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_71_length_26450_cov_30.407962_19   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   2   4   8.1e-14   3.8e-12   45.0   0.2    81   171   149   243   127   250 0.78 # 20986 # 22701 # -1 # ID=71_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_71_length_26450_cov_30.407962_19   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   3   4   5.8e-07   2.7e-05   22.6   0.0     4    48   301   348   299   351 0.88 # 20986 # 22701 # -1 # ID=71_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_71_length_26450_cov_30.407962_19   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   4   4   1.2e-16   5.6e-15   54.2   0.6    63   156   412   509   407   535 0.84 # 20986 # 22701 # -1 # ID=71_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_30_length_79514_cov_31.910724_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   1   4   5.5e-07   2.6e-05   22.7   0.0     6    73    19    95    15   110 0.74 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_30_length_79514_cov_31.910724_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   2   4   7.6e-14   3.6e-12   45.1   0.0    78   144   156   222   140   236 0.89 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_30_length_79514_cov_31.910724_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   3   4   3.5e-07   1.7e-05   23.3   0.0    17    49   350   382   335   394 0.82 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
